acpi 1.8-2
amd-ucode 20260110-1
ani-cli 4.10-1
asciidoctor 2.0.26-1
base 3-3
batify 1.0-3
bottom 0.12.3-2
bsd-games 3.3-3
cbonsai 1.4.2-1
cmatrix 2.0-4
discord 1:0.0.125-1
dkms 3.3.0-1
dwarffortress 53.10-1
efibootmgr 18-3
fastfetch 2.59.0-1
feh 3.11.2-2
firefox 147.0.3-2
flameshot 13.3.0-2
fvm 4.0.5-1
git-filter-repo 2.47.0-3
github-cli 2.86.0-1
htop 3.4.1-1
hypridle 0.1.7-6
hyprland 0.53.3-2
hyprlock 0.9.2-8
hyprpaper 0.8.3-2
hyprshot 1.3.0-4
i3-wm 4.25.1-1
i3blocks 1.5-4
inkscape 1.4.3-2
intel-ucode 20260210-1
julia 2:1.12.5-1
jupyterlab 4.5.4-1
lazygit 0.59.0-1
libreoffice-still 25.8.4-3
localsend-bin 1.17.0-1
lua-dkjson 2.8-3
luarocks 3.13.0-1
lxappearance 0.6.4-3
mako 1.10.0-1
nano 8.7.1-1
network-manager-applet 1.36.0-1
networkmanager-dmenu-git r233.1e76585-1
newsboat 2.42-1
nmrs 1.1.0-2
nmrs-debug 1.1.0-2
noctalia-shell 4.5.0-1
obsidian 1.11.7-1
pacman-contrib 1.13.1-1
paru 2.1.0-2
paru-debug 2.1.0-2
pdfpc 4.7.0-2
picom 13-1
putty 0.83-1
qalculate-gtk 5.9.0-1
qt6-virtualkeyboard 6.10.2-1
redshift 1.12-15
rsync 3.4.1-2
rustup 1.28.2-4
sddm 0.21.0-6
sof-firmware 2025.12.2-1
starship 1.24.2-2
steam 1.0.0.85-3
surfraw 2.3.0-4
swaybg 1.2.1-1
swaylock 1.8.4-1
texlive-bibtexextra 2025.2-3
texlive-binextra 2025.2-3
texlive-latexextra 2025.2-3
texlive-mathscience 2025.2-3
tipp10 3.3.4-1
tlpui 2:1.9.0-2
ttf-jetbrains-mono 2.304-2
uthash 2.3.0-2
waybar 0.15.0-1
waylock 1.5.0-2
wget 1.25.0-3
wireless_tools 30.pre9-5
wmenu 0.2.0-1
woff2-font-awesome 7.2.0-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xorg-xinit 1.4.4-1
yazi 26.1.22-1
zen-browser-bin 1.18.8b-1
zram-generator 1.2.1-1
